alpha,k,time
1,52,431284
1,52,457304
1,52,438025
1,52,441564
1,52,429546
1,52,443521
1,52,430166
1,52,459973
1,52,429440
1,52,446334
1,52,430537
1,52,441956
1,52,431419
1,52,444207
1,52,429871
1,52,440823
1,53,444429
1,53,443563
1,53,430974
1,53,441955
1,53,430234
1,53,441252
1,53,430123
1,53,442530
1,53,432408
1,53,445502
1,53,430282
1,53,455077
1,53,429328
1,53,441640
1,53,430123
1,53,442280
1,53,430350
1,53,455167
1,53,442107
1,53,441299
1,54,429822
1,54,440236
1,54,435164
1,54,445288
1,54,430738
1,54,441369
1,54,442702
1,54,442940
1,54,431148
1,54,442799
1,54,433162
1,54,442105
1,54,431781
1,54,442727
1,54,431561
1,54,451795
1,54,430986
1,54,456831
1,54,431689
1,54,439908
1,55,432224
1,55,442025
1,55,430987
1,55,441163
1,55,442952
1,55,442975
1,55,431986
1,55,442096
1,55,430270
1,55,440422
1,55,430549
1,55,441705
1,55,430899
1,55,457229
1,55,440404
1,55,442940
1,55,430872
1,55,441666
1,55,429784
1,55,439351
1,56,430613
1,56,443012
1,56,447039
1,56,455398
1,56,431690
1,56,442031
1,56,430503
1,56,442244
1,56,433102
1,56,443176
1,56,430891
1,56,455548
1,56,433234
1,56,440695
1,56,431531
1,56,443413
1,56,430900
1,56,440163
1,56,431781
1,56,440675
1,57,446439
1,57,440684
1,57,430686
1,57,441168
1,57,431524
1,57,428893
1,57,440371
1,57,441486
1,57,431565
1,57,461290
1,57,432075
1,57,440755
1,57,429240
1,57,439959
1,57,429678
1,57,439843
1,57,429364
1,57,440491
1,57,448053
1,57,441042
1,58,430657
1,58,442278
1,58,430907
1,58,442649
1,58,430342
1,58,443406
1,58,431190
1,58,450098
1,58,428888
1,58,441358
1,58,428352
1,58,442634
1,58,437626
1,58,444386
1,58,431362
1,58,455390
1,58,449758
1,58,441779
1,58,430447
1,58,439649
1,59,432477
1,59,453468
1,59,431720
1,59,442346
1,59,430509
1,59,452928
1,59,430581
1,59,443501
1,59,433715
1,59,451582
1,59,432322
1,59,444690
1,59,432230
1,59,444104
1,59,457117
1,59,444708
1,59,433481
1,59,445891
1,59,433530
1,59,445723
1,60,432837
1,60,459207
1,60,434105
1,60,457531
1,60,432401
1,60,446297
1,60,432927
1,60,446363
1,60,432529
1,60,444203
1,60,432065
1,60,444633
1,60,443768
1,60,444002
1,60,433039
1,60,442745
1,60,434699
1,60,444090
1,60,433689
1,60,445376
1,61,446744
1,61,450630
1,61,433331
1,61,444894
1,61,432632
1,61,445551
1,61,432575
1,61,458514
1,61,431993
1,61,453654
1,61,434684
1,61,445633
1,61,432908
1,61,445224
1,61,432302
1,61,444784
1,61,432048
1,61,445096
1,61,442386
1,61,445914
1,62,433186
1,62,444996
1,62,432368
1,62,444948
1,62,432464
1,62,443847
1,62,431523
1,62,455335
1,62,443578
1,62,445481
1,62,432836
1,62,444336
1,62,432634
1,62,457918
1,62,433246
1,62,445202
1,62,451494
1,62,442454
1,62,431082
1,62,440632
1,63,432088
1,63,441199
1,63,431011
1,63,440755
1,63,443329
1,63,451268
1,63,432674
1,63,441986
1,63,431198
1,63,440636
1,63,432939
1,63,440430
1,63,430929
1,63,440996
1,63,446234
1,63,441377
1,63,431612
1,63,440773
1,63,434717
1,63,459463
1,64,432344
1,64,442259
1,64,432925
1,64,456166
1,64,432771
1,64,441879
1,64,429735
1,64,442837
1,64,430986
1,64,442007
1,64,431200
1,64,442629
1,64,445498
1,64,441452
1,64,430718
1,64,444751
1,64,430389
1,64,442461
1,64,430578
1,64,441400
1,65,431200
1,65,454391
1,65,431153
1,65,441938
1,65,430427
1,65,456417
1,65,431096
1,65,443698
1,65,431532
1,65,442375
1,65,444807
1,65,441016
1,65,432100
1,65,445348
1,65,432681
1,65,457672
1,65,432402
1,65,446099
1,65,433061
1,65,456998
1,66,433672
1,66,446045
1,66,433430
1,66,444689
1,66,433915
1,66,444177
1,66,433186
1,66,445208
1,66,434349
1,66,444986
1,66,436217
1,66,456753
1,66,432600
1,66,444150
1,66,433909
1,66,444656
1,66,443395
1,66,446982
1,66,432882
1,66,446068
1,67,433046
1,67,444573
1,67,432008
1,67,445423
1,67,432315
1,67,462057
1,67,432319
1,67,442827
1,67,432366
1,67,444450
1,67,434005
1,67,444666
1,67,433436
1,67,444505
1,67,445206
1,67,444657
1,67,433156
1,67,458458
1,67,432015
1,67,443748
1,68,433453
1,68,445638
1,68,432794
1,68,452578
1,68,431590
1,68,442399
1,68,430628
1,68,442504
1,68,430720
1,68,450723
1,68,433628
1,68,447286
1,68,431716
1,68,449301
1,68,432482
1,68,446844
1,68,432991
1,68,448161
1,68,434128
1,68,444535
1,69,432917
1,69,470059
1,69,443365
1,69,459636
1,69,433548
1,69,445423
1,69,434326
1,69,447128
1,69,435176
1,69,446778
1,69,446368
1,69,445668
1,69,433337
1,69,446540
1,69,434066
1,69,446286
1,69,434275
1,69,447258
1,69,434416
1,69,455504
1,70,437559
1,70,445861
1,70,434965
1,70,444932
1,70,435960
1,70,442090
1,70,434642
1,70,443124
1,70,449040
1,70,457343
1,70,434614
1,70,444938
1,70,434851
1,70,450517
1,70,434494
1,70,443499
1,70,448874
1,70,446899
1,70,434191
1,70,443432
1,71,435636
1,71,442669
1,71,435826
1,71,443398
1,71,435140
1,71,454740
1,71,437743
1,71,449803
1,71,434398
1,71,442112
1,71,434966
1,71,444406
1,71,435336
1,71,443379
1,71,448062
1,71,455228
1,71,434062
1,71,445063
1,71,434392
1,71,444962
1,72,431811
1,72,440273
1,72,434953
1,72,451294
1,72,436456
1,72,443866
1,72,434506
1,72,444421
1,72,435107
1,72,442870
1,72,435660
1,72,442536
1,72,447406
1,72,444610
1,72,434653
1,72,443100
1,72,434868
1,72,442788
1,72,435050
1,72,442247
1,73,433936
1,73,466097
1,73,433730
1,73,444270
1,73,435983
1,73,449177
1,73,434306
1,73,441870
1,73,433903
1,73,441615
1,73,446688
1,73,444195
1,73,434944
1,73,441919
1,73,435035
1,73,441507
1,73,434226
1,73,441095
1,73,434783
1,73,453947
1,74,436205
1,74,441865
1,74,434260
1,74,440782
1,74,436454
1,74,440463
1,74,435339
1,74,454468
1,74,446524
1,74,442743
1,74,433384
1,74,440667
1,74,434840
1,74,442672
1,74,435875
1,74,444040
1,74,434924
1,74,440457
1,74,433582
1,74,445053
1,75,435206
1,75,445919
1,75,432711
1,75,444536
1,75,434394
1,75,451596
1,75,434512
1,75,445789
1,75,434485
1,75,446751
1,75,433007
1,75,441606
1,75,433913
1,75,455109
1,75,447329
1,75,449599
1,75,436082
1,75,444085
1,75,433898
1,75,443821
1,76,434398
1,76,445015
1,76,434124
1,76,452775
1,76,434803
1,76,450980
1,76,433191
1,76,443826
1,76,434384
1,76,443816
1,76,433681
1,76,445939
1,76,444431
1,76,442344
1,76,432312
1,76,443680
1,76,435206
1,76,446032
1,76,436255
1,76,458498
1,77,434337
1,77,454632
1,77,433917
1,77,436861
1,77,433942
1,77,442083
1,77,435604
1,77,445136
1,77,434052
1,77,444529
1,77,445708
1,77,446327
1,77,431719
1,77,442331
1,77,432816
1,77,440945
1,77,433314
1,77,440848
1,77,433386
1,77,454104
1,78,436447
1,78,440710
1,78,432670
1,78,445659
1,78,431604
1,78,453521
1,78,431669
1,78,442673
1,78,447843
1,78,442445
1,78,432122
1,78,442174
1,78,431921
1,78,440397
1,78,431997
1,78,440834
1,78,434539
1,78,459903
1,78,433353
1,78,441642
1,79,433000
1,79,444497
1,79,439874
1,79,445288
1,79,432389
1,79,443074
1,79,444771
1,79,445598
1,79,431830
1,79,443894
1,79,430965
1,79,456908
1,79,432064
1,79,440443
1,79,430871
1,79,459044
1,79,431098
1,79,442958
1,79,431545
1,79,441128
1,80,432261
1,80,448027
1,80,442030
1,80,453845
1,80,432205
1,80,445349
1,80,430888
1,80,443671
1,80,431404
1,80,445178
1,80,433047
1,80,442020
1,80,442873
1,80,442443
1,80,432849
1,80,444077
1,80,432579
1,80,455331
1,80,433299
1,80,442853
1,81,431598
1,81,468918
1,81,434222
1,81,441876
1,81,431978
1,81,444104
1,81,432485
1,81,443074
1,81,435013
1,81,441837
1,81,442074
1,81,445047
1,81,433576
1,81,444083
1,81,432614
1,81,443241
1,81,432067
1,81,444338
1,81,432517
1,81,452545
1,82,431707
1,82,444261
1,82,432259
1,82,458796
1,82,432624
1,82,450820
1,82,432116
1,82,444239
1,82,446268
1,82,450006
1,82,435245
1,82,440664
1,82,431639
1,82,441036
1,82,432290
1,82,442141
1,82,432414
1,82,452872
1,82,432068
1,82,441471
1,83,432505
1,83,442626
1,83,431699
1,83,441863
1,83,432741
1,83,442532
1,83,446977
1,83,442551
1,83,431797
1,83,455512
1,83,433176
1,83,445148
1,83,432596
1,83,443324
1,83,432194
1,83,456853
1,83,433560
1,83,442167
1,83,431848
1,83,442841
1,84,433261
1,84,445462
1,84,431306
1,84,446282
1,84,444894
1,84,445290
1,84,433150
1,84,444822
1,84,432971
1,84,444332
1,84,432907
1,84,443464
1,84,432621
1,84,455809
1,84,432410
1,84,459682
1,84,432686
1,84,444598
1,84,433138
1,84,441950
1,85,432807
1,85,443873
1,85,449229
1,85,446903
1,85,432649
1,85,443171
1,85,431602
1,85,445218
1,85,432335
1,85,450713
1,85,444348
1,85,444642
1,85,432636
1,85,443260
1,85,431316
1,85,444342
1,85,442250
1,85,446469
1,85,432113
1,85,452413
1,86,433026
1,86,458129
1,86,432712
1,86,443678
1,86,432613
1,86,445018
1,86,433243
1,86,449510
1,86,446096
1,86,446517
1,86,431547
1,86,452507
1,86,432586
1,86,444709
1,86,432492
1,86,443180
1,86,432417
1,86,453914
1,86,433267
1,86,442790
1,87,434091
1,87,444947
1,87,433671
1,87,445697
1,87,431505
1,87,442867
1,87,445509
1,87,454090
1,87,433866
1,87,441309
1,87,434643
1,87,441783
1,87,435200
1,87,441820
1,87,432425
1,87,454004
1,87,433316
1,87,441949
1,87,432335
1,87,453859
1,88,433268
1,88,442261
1,88,435789
1,88,442418
1,88,445652
1,88,442696
1,88,432763
1,88,441325
1,88,433508
1,88,441855
1,88,432533
1,88,442568
1,88,432026
1,88,471569
1,88,433063
1,88,451035
1,88,433437
1,88,445114
1,88,434234
1,88,447456
1,89,432416
1,89,443900
1,89,446624
1,89,455753
1,89,434516
1,89,445809
1,89,432466
1,89,445394
1,89,432851
1,89,443739
1,89,427365
1,89,457590
1,89,432570
1,89,441844
1,89,432713
1,89,440937
1,89,432187
1,89,442468
1,89,432039
1,89,454754
1,90,444157
1,90,443324
1,90,430750
1,90,439052
1,90,430338
1,90,440532
1,90,430137
1,90,441515
1,90,429949
1,90,464898
1,90,433379
1,90,442372
1,90,432921
1,90,445585
1,90,433598
1,90,442929
1,90,432396
1,90,456984
1,90,433396
1,90,443349
1,91,434240
1,91,441892
1,91,434062
1,91,441427
1,91,433146
1,91,456106
1,91,452690
1,91,443081
1,91,432552
1,91,442677
1,91,432940
1,91,441024
1,91,431327
1,91,441857
1,91,432356
1,91,456445
1,91,432981
1,91,443405
1,91,433044
1,91,441458
1,92,434118
1,92,441297
1,92,431329
1,92,442390
1,92,445595
1,92,441624
1,92,430126
1,92,439283
1,92,429052
1,92,438796
1,92,441619
1,92,467248
1,92,436289
1,92,455451
1,92,433792
1,92,441272
1,92,432564
1,92,441772
1,92,433697
1,92,442487
1,93,434138
1,93,441508
1,93,452927
1,93,448729
1,93,432562
1,93,441962
1,93,433057
1,93,443805
1,93,432874
1,93,441862
1,93,433819
1,93,463337
1,93,434391
1,93,442193
1,93,435968
1,93,441324
1,93,433822
1,93,454566
1,93,434370
1,93,442601
1,94,450001
1,94,442182
1,94,433199
1,94,443756
1,94,432790
1,94,443289
1,94,435424
1,94,444054
1,94,433136
1,94,463964
1,94,432455
1,94,451354
1,94,432674
1,94,449555
1,94,433315
1,94,444357
1,94,434996
1,94,443745
1,94,448009
1,94,443725
1,95,432333
1,95,444564
1,95,433572
1,95,457961
1,95,432592
1,95,444074
1,95,433086
1,95,458424
1,95,432852
1,95,443892
1,95,432430
1,95,443969
1,95,436004
1,95,444891
1,95,433117
1,95,460425
1,95,433855
1,95,450129
1,95,432788
1,95,443887
1,96,433066
1,96,444588
1,96,432036
1,96,446384
1,96,447061
1,96,445909
1,96,432874
1,96,444221
1,96,433139
1,96,455033
1,96,433539
1,96,447261
1,96,432333
1,96,457561
1,96,433863
1,96,444203
1,96,434334
1,96,447182
1,96,432839
1,96,443528
1,97,432614
1,97,445951
1,97,451991
1,97,446301
1,97,435278
1,97,447054
1,97,435184
1,97,454169
1,97,435201
1,97,455283
1,97,434604
1,97,458418
1,97,437975
1,97,447478
1,97,435257
1,97,461169
1,97,435995
1,97,448056
1,97,434634
1,97,447916
1,98,446550
1,98,447511
1,98,434686
1,98,449567
1,98,433637
1,98,447316
1,98,434934
1,98,448158
1,98,434657
1,98,465878
1,98,434708
1,98,446154
1,98,436168
1,98,445520
1,98,435612
1,98,445235
1,98,435381
1,98,446904
1,98,437600
1,98,444014
1,99,436218
1,99,459526
1,99,436817
1,99,446801
1,99,439158
1,99,450377
1,99,460283
1,99,449791
1,99,439811
1,99,445751
1,99,436742
1,99,444086
1,99,435369
1,99,445723
1,99,436462
1,99,462994
1,99,436310
1,99,446909
1,99,435404
1,99,446421
1,100,435973
1,100,446329
1,100,435953
1,100,447905
1,100,451513
1,100,447468
1,100,435765
1,100,457286
1,100,439069
1,100,444093
1,100,436578
1,100,442915
1,100,435604
1,100,457023
1,100,435741
