k,time
77,7910243
77,7905411
77,7986761
77,7994580
78,7985196
78,7810639
78,7990737
78,7953460
78,7958121
78,7749431
78,7848052
78,7939502
78,7998901
78,7951269
78,7904817
78,7934107
78,7956191
78,7998339
78,7921823
78,7951046
78,7942284
78,7922320
78,8005667
78,7882331
79,7903717
79,7861329
79,7980479
79,8032090
79,7855025
79,7957546
79,7972380
79,8011029
79,7934386
79,7761461
79,7942371
79,7932861
79,7959940
79,7769388
79,7877878
79,7939941
79,7926548
79,7921730
79,7925030
79,7921310
80,7955368
80,8033178
80,8055181
80,7850933
80,7976556
80,7957795
80,8002287
80,7808187
80,7874432
80,7998021
80,7995742
80,7878221
80,7886285
80,7996800
80,8021787
80,7976269
80,7991508
80,8029236
80,7905376
80,8036238
81,7954650
81,8014880
81,7877457
81,7907010
81,7994959
81,8079373
81,7888021
81,7877623
81,8064220
81,7995364
81,7940151
81,7970554
81,7965851
81,7954616
81,7974733
81,7873245
81,7910392
81,7888694
81,7978591
81,7964476
82,8041302
82,7919243
82,7999489
82,7923760
82,8041997
82,7830953
82,7863474
82,7956650
82,7971729
82,7884598
82,7820788
82,7914445
82,7966304
82,7964967
82,7919969
82,7953821
82,7847251
82,7925104
82,7896409
82,7993937
83,7856374
83,7852895
83,7846665
83,7835829
83,7840945
83,7845907
83,7842307
83,7857687
83,7852494
83,7840127
83,7850741
83,7840722
83,7853769
83,7840475
83,7838671
83,7840006
83,7860505
83,7839727
83,7841828
83,7837523
84,7992506
84,7829561
84,7997326
84,7865337
84,7912953
84,7811955
84,7901326
84,7848233
84,7834569
84,7834441
84,8012215
84,7899981
84,7877787
84,8050496
84,7936097
84,7905088
84,7861842
84,7938914
84,7913093
84,7892976
85,7976224
85,7941770
85,7885153
85,7936280
85,7879375
85,8003868
85,7828851
85,7889308
85,8061170
85,7947967
85,7890365
85,7802911
85,8067058
85,7909735
85,7862595
85,7813980
85,7981482
85,7985318
85,8001336
85,7938404
86,7957967
86,7917806
86,7943430
86,7947378
86,7878591
86,7915623
86,7912113
86,7995507
86,7964436
86,7901753
86,7944472
86,8032738
86,7953328
86,7835469
86,7913964
86,7947548
86,7972504
86,7868561
86,7930264
86,7968198
87,8043614
87,7875536
87,7972443
87,7869025
87,7875113
87,7931663
87,8080280
87,7943026
87,7906207
87,7850896
87,8028519
87,7945498
87,7968514
87,7893343
87,8002587
87,7981007
87,7931141
87,7960862
87,7967518
87,7926851
88,7956557
88,7949275
88,7916523
88,7939763
88,7893132
88,8009642
88,7960078
88,7961386
88,7973687
88,7965815
88,7884570
88,7883307
88,7955877
88,7937411
88,7852753
88,7891628
88,7915985
88,7877514
88,7864766
88,7892452
